id;number;phone_type;political_id;use_type
1;456236874;TELEPHONE;1;COMMERCIAL
2;897645310;CELL;1;PERSONAL
3;789765421;TELEPHONE;2;PERSONAL
4;897564231;CELL;2;COMMERCIAL
5;897564233;TELEPHONE;3;PERSONAL
6;564231231;CELL;3;PERSONAL
7;654652312;TELEPHONE;4;PERSONAL
8;897565465;CELL;4;PERSONAL
9;564654655;TELEPHONE;5;COMMERCIAL
11;985452165;CELL;5;PERSONAL
12;123456789;TELEPHONE;6;PERSONAL
13;854263281;CELL;6;COMMERCIAL
14;323582378;TELEPHONE;7;PERSONAL
15;841236548;CELL;7;PERSONAL
16;423654123;TELEPHONE;8;PERSONAL
17;842563212;CELL;8;PERSONAL
18;845632245;TELEPHONE;9;PERSONAL
19;845632178;CELL;9;PERSONAL
20;845632658;TELEPHONE;10;COMMERCIAL
21;602568456;CELL;10;PERSONAL
22;845623584;TELEPHONE;5;PERSONAL
23;665845262;CELL;6;PERSONAL
24;845623328;TELEPHONE;7;PERSONAL
25;560236548;CELL;8;COMMERCIAL
26;123654865;TELEPHONE;9;PERSONAL


